"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Nov 24 00:24:50 GMT 2021","Wed Nov 24 00:24:53 GMT 2021","2945","","","","","","Assert google search results exists FAILED",""
"failed","Wed Nov 24 00:24:08 GMT 2021","Wed Nov 24 00:24:09 GMT 2021","36","","","","","","Get default json configuration",""
"passed","Wed Nov 24 00:24:08 GMT 2021","Wed Nov 24 00:24:08 GMT 2021","2","","","","","","Scenario outline example",""
"passed","Wed Nov 24 00:24:08 GMT 2021","Wed Nov 24 00:24:08 GMT 2021","0","","","","","","Scenario outline example",""
"passed","Wed Nov 24 00:24:53 GMT 2021","Wed Nov 24 00:24:58 GMT 2021","5158","","","","","","Assert google search results exists in few browsers in the same time",""
"passed","Wed Nov 24 00:24:08 GMT 2021","Wed Nov 24 00:24:08 GMT 2021","1","","","","","","Scenario with large string",""
"passed","Wed Nov 24 00:24:44 GMT 2021","Wed Nov 24 00:24:49 GMT 2021","5435","","","","","","Assert google search results exists",""
"failed","Wed Nov 24 00:24:08 GMT 2021","Wed Nov 24 00:24:08 GMT 2021","164","","","","","","Assertion scope",""
"passed","Wed Nov 24 00:24:08 GMT 2021","Wed Nov 24 00:24:08 GMT 2021","52","","","","","","Assist helpers",""
"failed","Wed Nov 24 00:24:08 GMT 2021","Wed Nov 24 00:24:08 GMT 2021","6","","","","","","Basic keywords example",""
"passed","Wed Nov 24 00:24:08 GMT 2021","Wed Nov 24 00:24:08 GMT 2021","2","","","","","","Scenario with table",""
"passed","Wed Nov 24 00:24:08 GMT 2021","Wed Nov 24 00:24:09 GMT 2021","550","","","","","","Different parameters and transformations",""
"passed","Wed Nov 24 00:24:09 GMT 2021","Wed Nov 24 00:24:09 GMT 2021","1","","","","","","Tag scoping example",""
"passed","Wed Nov 24 00:24:08 GMT 2021","Wed Nov 24 00:24:08 GMT 2021","2","","","","","","Occurrense contraint",""
"passed","Wed Nov 24 00:24:08 GMT 2021","Wed Nov 24 00:24:08 GMT 2021","34","","","","","","And in assertion",""
